CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!8.53 s

Number of sentences: 17535
Number of features:  8855328
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=180 terr=0.00174 serr=0.06478 act=8855328 obj=28188.34366 diff=0.00232
iter=181 terr=0.00162 serr=0.06039 act=8855328 obj=28056.56814 diff=0.00467
iter=182 terr=0.00178 serr=0.06940 act=8855328 obj=28013.20569 diff=0.00155
iter=183 terr=0.00147 serr=0.05714 act=8855328 obj=27882.49369 diff=0.00467
iter=184 terr=0.00140 serr=0.05480 act=8855328 obj=27843.76632 diff=0.00139
iter=185 terr=0.00140 serr=0.05469 act=8855328 obj=27813.61579 diff=0.00108
iter=186 terr=0.00144 serr=0.05555 act=8855328 obj=27739.15454 diff=0.00268
iter=187 terr=0.00124 serr=0.04984 act=8855328 obj=27773.59181 diff=0.00124
iter=188 terr=0.00129 serr=0.05121 act=8855328 obj=27642.91168 diff=0.00471
iter=189 terr=0.00127 serr=0.05104 act=8855328 obj=27509.01170 diff=0.00484
iter=190 terr=0.00122 serr=0.04819 act=8855328 obj=27430.99517 diff=0.00284
iter=191 terr=0.00135 serr=0.05463 act=8855328 obj=27384.27475 diff=0.00170
iter=192 terr=0.00115 serr=0.04671 act=8855328 obj=27308.01189 diff=0.00278
iter=193 terr=0.00110 serr=0.04425 act=8855328 obj=27279.92253 diff=0.00103
iter=194 terr=0.00108 serr=0.04363 act=8855328 obj=27258.74308 diff=0.00078
iter=195 terr=0.00110 serr=0.04414 act=8855328 obj=27199.31141 diff=0.00218
iter=196 terr=0.00142 serr=0.05332 act=8855328 obj=27554.04833 diff=0.01304
iter=197 terr=0.00113 serr=0.04477 act=8855328 obj=27144.33729 diff=0.01487
iter=198 terr=0.00106 serr=0.04306 act=8855328 obj=27025.40683 diff=0.00438
iter=199 terr=0.00133 serr=0.05572 act=8855328 obj=27027.34115 diff=0.00007
iter=200 terr=0.00115 serr=0.04802 act=8855328 obj=26978.99920 diff=0.00179
iter=201 terr=0.00107 serr=0.04454 act=8855328 obj=26929.90090 diff=0.00182
iter=202 terr=0.00096 serr=0.04038 act=8855328 obj=26877.65609 diff=0.00194
iter=203 terr=0.00083 serr=0.03547 act=8855328 obj=26823.13228 diff=0.00203
